feature,mean_importance
CCS Procedure Description,-0.0032825182884588244
Zip Code - 3 digits,-0.002099554118896352
Payment Typology 2,-0.0010322771426681144
Payment Typology 3,-0.0009782965348474003
Hospital County,-0.0006924422617376136
Race,-0.0006445716090074827
Type of Admission,-0.00035251704665697494
APR Medical Surgical Description,2.3750550313184072e-05
APR DRG Description,0.0003095455026197902
Facility Name,0.000484451283282894
Total Costs,0.0010316409273083194
Health Service Area,0.0011073384394474362
Facility Id,0.00112600582616178
Payment Typology 1,0.0013393132619397008
Operating Certificate Number,0.002341172179239215
CCS Diagnosis Description,0.002464554252402573
Ethnicity,0.002621177767568428
Emergency Department Indicator,0.0028941537417474183
Gender,0.0033836553930166823
CCS Procedure Code,0.003808529351805712
Length of Stay,0.004233830518540938
APR MDC Code,0.0043081526702678065
APR DRG Code,0.0067347100630524405
Patient Disposition,0.007463571376209699
APR MDC Description,0.009036124250038635
Birth Weight,0.010631141221179252
Total Charges,0.014769120275716108
CCS Diagnosis Code,0.05018497916701845
APR Severity of Illness Description,0.0891124627550423
Age Group,0.2881786679188512
APR Severity of Illness Code,0.6953044097691827
