feature,mean_importance
Facility Name,-0.0025435440620451997
Operating Certificate Number,-0.0017188925305831714
Payment Typology 3,-0.0011397216860354886
APR Medical Surgical Description,-0.0009908749037722542
Zip Code - 3 digits,-0.00016414635581891713
Health Service Area,2.219888993784114e-05
Birth Weight,9.280585203204072e-05
Ethnicity,0.00011917052306087417
Hospital County,0.00025792052184474555
Payment Typology 2,0.0002962433577951229
Emergency Department Indicator,0.000342697386644919
APR MDC Code,0.0007769205290148573
Race,0.000817645708467074
Type of Admission,0.0008454775429075801
Payment Typology 1,0.0014534639209254018
CCS Procedure Code,0.0018937831744927358
Length of Stay,0.001988218982230827
Gender,0.0020161106533581386
APR DRG Code,0.0022450510422594495
APR DRG Description,0.002254777958601606
CCS Procedure Description,0.0031451687765037483
Facility Id,0.0040275174072538665
CCS Diagnosis Description,0.004676726752321359
Total Charges,0.004763957728601787
Total Costs,0.007680275789762448
APR MDC Description,0.009164295234612308
APR Severity of Illness Description,0.013515002724804725
Patient Disposition,0.017695520496852125
CCS Diagnosis Code,0.037640739557738875
Age Group,0.2187192314787348
APR Severity of Illness Code,0.7363920334821958
