feature,mean_importance
CCS Procedure Description,-0.00027545143176823663
Operating Certificate Number,-0.00016735398230116605
Total Costs,-0.00015285675556411248
Payment Typology 2,-0.0001511181625658331
APR Medical Surgical Description,-0.00013357871105819098
Hospital County,-9.057815362376598e-05
Race,-3.2150322472168646e-05
Payment Typology 3,-2.7741466528197202e-05
Facility Id,-2.376533341172937e-05
Type of Admission,-2.3532668139059078e-05
Gender,-7.413961381930179e-06
Birth Weight,0.0
Ethnicity,2.0340778699590166e-05
Zip Code - 3 digits,3.26330100465233e-05
Health Service Area,3.959504597315089e-05
Emergency Department Indicator,3.9630211051000507e-05
Facility Name,0.00015453367336673018
APR DRG Description,0.00017864316697098205
CCS Procedure Code,0.000328953299149326
Total Charges,0.000360750151802125
APR MDC Code,0.00044775362041589163
CCS Diagnosis Description,0.0008343530747559669
Length of Stay,0.0012208178202327113
APR DRG Code,0.0016060269009164686
Payment Typology 1,0.004474974361441797
Patient Disposition,0.004628221823926681
APR MDC Description,0.008504504739797381
CCS Diagnosis Code,0.016574121874502558
APR Severity of Illness Description,0.16109087687662718
APR Severity of Illness Code,0.2082314230888805
Age Group,0.2390181163959313
