feature,shap_importance
APR Severity of Illness Code,0.3380106378660412
Age Group,0.3250758065225823
APR Severity of Illness Description,0.29669994547074896
CCS Diagnosis Code,0.032733942218542644
Payment Typology 1,0.030768329525895585
APR MDC Description,0.02217824387535011
Patient Disposition,0.010190087844611187
Length of Stay,0.007465008573734989
Emergency Department Indicator,0.0064574557092479294
Type of Admission,0.005259294205266701
APR DRG Code,0.0051486528086946886
CCS Diagnosis Description,0.005113413378024305
CCS Procedure Code,0.0022215792660954334
APR DRG Description,0.002015235325640875
Total Costs,0.0019654494940810696
Operating Certificate Number,0.0019331523373893895
CCS Procedure Description,0.0017210824621491255
APR Medical Surgical Description,0.0016027316972488132
APR MDC Code,0.0011766129355125791
Total Charges,0.0011097980491346071
Payment Typology 2,0.0007652106168107916
Payment Typology 3,0.0006630537959907746
Facility Name,0.0005886281944465165
Zip Code - 3 digits,0.0004183649580640091
Facility Id,0.0003609354171982045
Hospital County,0.00030258273788170737
Gender,0.00022669123966688882
Health Service Area,0.00021659642972250075
Race,7.51380819009226e-05
Ethnicity,4.296311059904211e-05
Birth Weight,0.0
